time            psibdx          thtbdx          lonx            latx            alt             dvbe            VBED1           VBED2           VBED3           grndtrck        thrust          
0               -179.788        38.0265         -120.49         34.6009         8353.41         781.468         -615.59         -2.2783         -481.389        3.07378         0               
0.5             -179.783        37.8111         -120.49         34.5981         8591.86         771.233         -609.548        -2.3108         -472.488        308.911         0               
1               -179.778        37.4786         -120.49         34.5954         8825.78         761.373         -604.263        -2.34264        -463.194        611.903         0               
1.5             -179.773        37.1945         -120.49         34.5927         9055.22         751.866         -598.945        -2.37461        -454.491        912.228         0               
2               -179.768        36.8994         -120.49         34.59           9280.3          742.691         -593.94         -2.40614        -445.892        1209.99         0               
2.5             -179.763        36.5995         -120.49         34.5873         9501.13         733.829         -589.152        -2.43748        -437.492        1505.29         0               
3               -179.758        36.2947         -120.49         34.5847         9717.82         725.261         -584.565        -2.46862        -429.28         1798.25         0               
3.5             -179.753        35.985          -120.49         34.5821         9930.44         716.972         -580.17         -2.49955        -421.244        2088.95         0               
4               -179.748        35.6706         -120.49         34.5795         10139.1         708.947         -575.953        -2.53027        -413.374        2377.5          0               
4.5             -179.744        35.3513         -120.49         34.5769         10343.8         701.172         -571.906        -2.56077        -405.658        2663.97         0               
5               -179.739        35.0271         -120.49         34.5743         10544.8         693.634         -568.019        -2.59105        -398.089        2948.46         0               
5.5             -179.734        34.6981         -120.49         34.5718         10741.9         686.32          -564.283        -2.62111        -390.658        3231.04         0               
6               -179.729        34.3643         -120.49         34.5692         10935.4         679.221         -560.689        -2.65093        -383.356        3511.78         0               
6.5             -179.725        34.0256         -120.49         34.5667         11125.3         672.328         -557.232        -2.68052        -376.177        3790.75         0               
7               -179.72         33.682          -120.49         34.5642         11311.6         665.645         -553.917        -2.70991        -369.123        4068.02         0               
7.5             -179.715        33.3336         -120.49         34.5617         11494.4         659.163         -550.736        -2.73911        -362.185        4343.67         0               
8               -179.711        32.9803         -120.49         34.5593         11673.8         652.872         -547.682        -2.76811        -355.358        4617.75         0               
8.5             -179.706        32.6222         -120.49         34.5568         11849.8         646.762         -544.746        -2.79688        -348.633        4890.33         0               
9               -179.701        32.2592         -120.49         34.5544         12022.5         640.823         -541.922        -2.82541        -342.005        5161.46         0               
9.5             -179.697        31.8914         -120.49         34.5519         12191.8         635.049         -539.203        -2.85371        -335.468        5431.21         0               
10              -179.692        31.5187         -120.49         34.5495         12357.9         629.43          -536.584        -2.88176        -329.016        5699.62         0               
10.5            -179.688        31.1412         -120.49         34.5471         12520.8         623.961         -534.059        -2.90958        -322.645        5966.74         0               
11              -179.684        30.7588         -120.49         34.5447         12680.6         618.634         -531.623        -2.93717        -316.349        6232.61         0               
11.5            -179.679        30.3716         -120.49         34.5423         12837.2         613.444         -529.271        -2.96455        -310.125        6497.29         0               
12              -179.675        29.9796         -120.49         34.54           12990.7         608.385         -526.998        -2.99175        -303.968        6760.8          0               
12.5            -179.67         29.5827         -120.49         34.5376         13141.2         603.452         -524.801        -3.01879        -297.874        7023.19         0               
13              -179.666        29.1809         -120.49         34.5352         13288.6         598.639         -522.674        -3.0457         -291.841        7284.5          0               
13.5            -179.662        28.7744         -120.49         34.5329         13433           593.944         -520.616        -3.07248        -285.864        7544.76         0               
14              -179.658        28.363          -120.49         34.5305         13574.5         589.36          -518.622        -3.09913        -279.941        7804            0               
14.5            -179.653        27.9467         -120.49         34.5282         13713           584.879         -516.683        -3.12561        -274.066        8062.26         0               
15              -179.649        27.5257         -120.49         34.5259         13848.5         580.493         -514.793        -3.15185        -268.235        8319.55         0               
15.5            -179.645        27.0998         -120.49         34.5236         13981.2         576.2           -512.952        -3.17784        -262.445        8575.92         0               
16              -179.641        26.6691         -120.49         34.5213         14111           571.999         -511.155        -3.20353        -256.696        8831.36         0               
16.5            -179.637        26.2335         -120.49         34.519          14237.9         567.886         -509.402        -3.22893        -250.984        9085.92         0               
17              -179.633        25.7931         -120.49         34.5167         14362           563.86          -507.691        -3.25403        -245.31         9339.61         0               
17.5            -179.629        25.3479         -120.491        34.5144         14483.2         559.919         -506.02         -3.27883        -239.67         9592.45         0               
18              -179.625        24.8979         -120.491        34.5122         14601.6         556.061         -504.388        -3.30333        -234.064        9844.46         0               
18.5            -179.621        24.4431         -120.491        34.5099         14717.3         552.284         -502.792        -3.32754        -228.49         10095.7         0               
19              -179.617        23.9835         -120.491        34.5076         14830.1         548.588         -501.231        -3.35146        -222.947        10346.1         0               
19.5            -179.613        23.5192         -120.491        34.5054         14940.2         544.97          -499.704        -3.3751         -217.433        10595.7         0               
20              -179.609        23.0501         -120.491        34.5031         15047.6         541.429         -498.209        -3.39845        -211.948        10844.6         0               
20.5            -179.605        22.5762         -120.491        34.5009         15152.2         537.964         -496.745        -3.42151        -206.49         11092.7         0               
21              -179.602        22.0977         -120.491        34.4987         15254.1         534.574         -495.311        -3.44429        -201.058        11340.1         0               
21.5            -179.598        21.6144         -120.491        34.4964         15353.2         531.257         -493.905        -3.46678        -195.651        11586.8         0               
22              -179.594        21.1265         -120.491        34.4942         15449.7         528.012         -492.527        -3.48897        -190.269        11832.8         0               
22.5            -179.591        20.6339         -120.491        34.492          15543.5         524.839         -491.175        -3.51087        -184.909        12078.2         0               
23              -179.587        20.1368         -120.491        34.4898         15634.6         521.737         -489.848        -3.53248        -179.572        12322.8         0               
23.5            -179.583        19.635          -120.491        34.4876         15723.1         518.704         -488.545        -3.55379        -174.256        12566.8         0               
24              -179.58         19.1288         -120.491        34.4854         15808.9         515.74          -487.265        -3.57483        -168.961        12810.1         0               
24.5            -179.576        18.618          -120.491        34.4832         15892           512.844         -486.007        -3.59562        -163.686        13052.8         0               
25              -179.573        18.1028         -120.491        34.481          15972.6         510.016         -484.771        -3.61617        -158.43         13294.9         0               
25.5            -179.569        17.5833         -120.491        34.4789         16050.5         507.254         -483.555        -3.63647        -153.193        13536.4         0               
26              -179.566        17.0593         -120.491        34.4767         16125.7         504.558         -482.358        -3.65654        -147.973        13777.2         0               
26.5            -179.562        16.5311         -120.491        34.4745         16198.4         501.927         -481.18         -3.67636        -142.771        14017.5         0               
27              -179.559        15.9986         -120.491        34.4724         16268.5         499.362         -480.019        -3.69585        -137.586        14257.2         0               
27.5            -179.556        15.4619         -120.491        34.4702         16336           496.86          -478.876        -3.71494        -132.417        14496.3         0               
28              -179.552        14.9212         -120.491        34.4681         16400.9         494.423         -477.749        -3.73363        -127.264        14734.8         0               
28.5            -179.549        14.3764         -120.491        34.4659         16463.3         492.049         -476.637        -3.75194        -122.126        14972.8         0               
29              -179.546        13.8276         -120.491        34.4638         16523.1         489.737         -475.541        -3.77002        -117.002        15210.2         0               
29.5            -179.543        13.2749         -120.491        34.4616         16580.3         487.489         -474.459        -3.78796        -111.892        15447.1         0               
